time_stamp,asset_id,status_type_id,sample_label,sensor_0_avg,wind_speed_3_avg,wind_speed_4_avg,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,reactive_power_27_avg,reactive_power_28_avg,power_29_avg,power_30_avg,sensor_31_avg,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_43_avg,sensor_44,sensor_45,sensor_47,sensor_48,sensor_50,sensor_51,sensor_52_avg,sensor_53_avg,sensor_1_avg_sin,sensor_1_avg_cos,sensor_2_avg_sin,sensor_2_avg_cos,sensor_5_avg_sin,sensor_5_avg_cos,sensor_42_avg_sin,sensor_42_avg_cos
2022-09-27 19:50:00,10,4,1,26.0,8.9,8.6,35.0,48.0,104.0,46.0,43.0,63.0,51.0,78.0,84.0,101.0,97.0,99.0,1630.1,43.0,46.0,45.0,1.0,923.2,942.3,916.6,0.4822926829268293,-0.4878048780487805,0.5355121951219513,0.5357073170731708,-0.0839024390243902,399.6,397.9,399.4,46.0,48.0,47.0,79.0,87.0,83.0,53.0,39.0,0.0,183250.0,0.0,-28663.0,183250.0,-28663.0,14.4,28.0,0.9278362538989199,-0.37298778257580906,0.10799935570602284,0.9941509639723154,-0.033155178388526274,0.9994502159417572,0.9626917464264788,-0.27060044597586363
2022-09-28 07:10:00,10,4,1,23.0,11.2,10.7,31.0,46.0,116.0,45.0,44.0,64.0,52.0,77.0,70.0,119.0,112.0,115.0,1673.6,42.0,48.0,48.0,1.0,1491.2,1516.8,1487.5,0.3061463414634146,-0.4065365853658536,0.8656585365853658,0.8698048780487805,-0.1019512195121951,399.7,396.9,399.2,49.0,51.0,50.0,75.0,85.0,83.0,51.0,37.0,0.0,297006.0,0.0,-34834.0,297006.0,-34834.0,14.8,25.0,0.981627183447664,-0.1908089953765448,-0.020942419883356957,0.9997806834748455,0.00523596383141958,0.9999862922474267,0.9774158942860959,-0.21132479645538865
2022-09-28 15:30:00,10,4,1,26.0,15.4,15.4,36.0,52.0,110.0,50.0,39.0,55.0,50.0,69.0,89.0,104.0,102.0,105.0,33.0,48.0,48.0,38.0,0.7000000000000001,31.4,27.9,33.0,0.0,0.0,0.946439024390244,-0.0133170731707317,-0.0121951219512195,401.2,399.5,401.9,37.0,39.0,38.0,86.0,96.0,95.0,49.0,45.0,-4548.0,0.0,-4170.0,0.0,-4548.0,-4170.0,0.0,29.0,0.8980275757606156,-0.43993916985591514,0.09584575252022398,0.9953961983671789,0.9975640502598242,0.06975647374412523,0.9360595357389734,-0.3518416484047016
2022-09-28 16:30:00,10,4,1,26.0,15.2,15.1,35.0,48.0,75.0,42.0,38.0,46.0,49.0,51.0,63.0,66.0,66.0,67.0,488.2,41.0,39.0,39.0,0.8,383.0,382.2,378.8,0.064390243902439,-0.0824390243902439,0.9630731707317072,0.198780487804878,-0.0347317073170731,402.6,400.6,403.1,39.0,40.0,40.0,73.0,82.0,81.0,51.0,40.0,-3510.0,70522.0,-2656.0,-9089.0,67011.0,-11746.0,4.0,28.0,0.9826127965436152,-0.1856666153855773,-0.14780941112961063,0.9890158633619168,0.9099612708765432,0.41469324265623914,0.9443763702374811,-0.3288666467385832
2022-09-29 07:20:00,10,4,1,22.0,12.5,11.9,31.0,50.0,127.0,49.0,44.0,66.0,54.0,78.0,95.0,140.0,131.0,132.0,1679.7,47.0,52.0,48.0,1.0,1625.2,1653.0,1627.6,0.2235121951219512,-0.3258048780487805,0.9501951219512196,0.9533170731707316,-0.1049756097560975,401.3,398.6,400.4,50.0,51.0,50.0,91.0,105.0,107.0,51.0,39.0,0.0,325714.0,0.0,-35871.0,325714.0,-35871.0,14.8,25.0,0.9921147013144778,-0.12533323356430437,0.09584575252022398,0.9953961983671789,0.05756402695956728,0.9983418166140283,0.999559860119384,-0.029666244085110847
2022-09-29 09:30:00,10,4,1,23.0,13.8,13.0,31.0,50.0,128.0,49.0,43.0,66.0,55.0,76.0,96.0,141.0,132.0,134.0,1680.7,48.0,53.0,48.0,1.0,1660.8,1687.7,1662.7,0.2038536585365853,-0.2943414634146341,0.9698536585365852,0.9714634146341464,-0.1066829268292682,400.3,397.7,399.6,50.0,51.0,50.0,92.0,106.0,108.0,52.0,39.0,0.0,331888.0,0.0,-36451.0,331888.0,-36451.0,14.8,25.0,0.9851093261547739,-0.1719291002794096,0.17364817766693033,0.984807753012208,0.11667073709933316,0.9931706495384861,0.9999984769132877,0.0017453283658982615
2022-09-30 01:50:00,10,4,1,22.0,11.4,10.7,30.0,44.0,109.0,43.0,45.0,64.0,53.0,75.0,78.0,113.0,106.0,108.0,1674.0,40.0,44.0,48.0,1.0,1497.5,1518.8,1485.0,0.3040487804878048,-0.4038048780487804,0.8678536585365854,0.8724390243902439,-0.102780487804878,400.3,397.6,400.2,50.0,52.0,51.0,75.0,86.0,85.0,50.0,37.0,0.0,297886.0,0.0,-35100.0,297886.0,-35100.0,14.8,24.0,0.999925369660452,-0.012217000835247235,-0.3403795502130501,0.9402881270104189,0.0069812602979615525,0.9999756307053947,0.9360595357389734,-0.3518416484047016
2022-09-30 12:20:00,10,4,1,26.0,9.3,8.8,36.0,46.0,113.0,46.0,41.0,63.0,52.0,72.0,69.0,110.0,106.0,108.0,1634.5,43.0,48.0,43.0,1.0,980.3,997.7,966.1,0.4716585365853658,-0.4874146341463415,0.570439024390244,0.5700975609756098,-0.0995121951219512,402.6,400.7,402.7,45.0,46.0,45.0,77.0,87.0,87.0,51.0,38.0,0.0,194922.0,0.0,-33997.0,194922.0,-33997.0,14.4,30.0,0.9851093261547739,-0.1719291002794096,0.0017453283658983088,0.9999984769132877,-0.02792163872356888,0.9996101150403544,0.9857034690888535,-0.16848937956500265
2022-09-30 13:50:00,10,4,1,26.0,10.2,9.4,36.0,47.0,111.0,46.0,44.0,63.0,51.0,71.0,68.0,108.0,103.0,106.0,1659.6,43.0,46.0,46.0,1.0,1144.0,1163.9,1136.0,0.4297073170731707,-0.4743414634146341,0.6664390243902439,0.6662926829268293,-0.0969756097560975,400.8,398.6,400.4,48.0,49.0,48.0,76.0,86.0,84.0,52.0,39.0,0.0,227729.0,0.0,-33128.0,227729.0,-33128.0,14.7,30.0,0.9838850379335417,-0.17880221511634947,0.052335956242943835,0.9986295347545738,-0.01745240643728351,0.9998476951563913,0.9918944425900297,-0.1270646086013505
2022-10-01 14:20:00,10,4,1,28.0,3.5,3.4,40.0,42.0,68.0,41.0,39.0,44.0,43.0,43.0,42.0,49.0,49.0,49.0,921.6,32.0,38.0,38.0,0.7000000000000001,31.4,32.8,33.5,0.0234146341463414,-0.0234146341463414,0.0164878048780487,-0.0002926829268292,-0.0070731707317073,400.6,398.5,397.6,39.0,40.0,40.0,69.0,73.0,69.0,50.0,35.0,-1260.0,1198.0,-1386.0,-1005.0,-61.0,-2391.0,8.1,33.0,0.3616245700820921,-0.9323238012155123,0.033155178388526274,0.9994502159417572,0.1443562010009732,0.9895257890689695,0.3923371166035614,-0.9198214973217377
